tuple_id,src,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
109,helloflight,,11:02 a.m.,,2:58 p.m.
110,helloflight,,1:48 p.m.,,4:20 p.m.
111,helloflight,,12:42 p.m.,,2:50 p.m.
112,helloflight,1:29 p.m.,,4:17 p.m.,
113,helloflight,,12:11 a.m.,,5:52 a.m.
114,helloflight,,4:28 p.m.,,12/2/11 12:01 a.m.
115,helloflight,,9:06 p.m.,,11:49 p.m.
116,helloflight,,8:29 p.m.,,11:35 p.m.
117,helloflight,,7:23 a.m.,,9:45 a.m.
118,helloflight,,8:52 a.m.,,11:33 a.m.
119,helloflight,,8:37 a.m.,,9:13 a.m.
120,helloflight,,1:41 p.m.,,3:29 p.m.
121,helloflight,2:53 p.m.,,4:48 p.m.,
122,helloflight,,7:41 a.m.,,8:33 a.m.
123,helloflight,11:08 p.m.,,12/2/11 5:11 a.m.,
124,helloflight,,5:38 p.m.,,6:19 p.m.
125,helloflight,,1:50 p.m. (+8:00),,7:50 a.m.
126,helloflight,,11:47 a.m.,,1:52 p.m.
127,helloflight,,8:40 p.m.,,9:12 p.m.
128,helloflight,,3:04 p.m.,,4:22 p.m.
129,helloflight,2:30 p.m.,,7:03 p.m.,
130,helloflight,8:55 a.m.,,11:45 a.m.,
131,helloflight,,2:44 p.m.,,3:36 p.m.
132,helloflight,,3:28 p.m.,,5:39 p.m.
133,helloflight,,7:22 a.m.,,11:04 a.m.
134,helloflight,,12:11 p.m.,,1:42 p.m.
135,helloflight,,8:04 a.m.,,10:58 a.m.
136,helloflight,9:05 a.m. (-00:00),,11:53 a.m.,
137,helloflight,,1:20 p.m.,,2:49 p.m.
138,helloflight,,8:55 a.m.,,10:12 a.m.
139,helloflight,,3:38 p.m.,,6:30 p.m.
140,helloflight,,8:04 a.m.,,7:59 a.m.
141,helloflight,,4:12 p.m.,,6:11 p.m.
142,helloflight,,11:52 a.m.,,2:21 p.m.
143,helloflight,2:55 p.m.,,4:49 p.m.,
144,helloflight,,11:55 a.m.,,5:34 p.m.
145,helloflight,,10:55 a.m.,,12:37 p.m.
146,helloflight,,6:58 a.m.,,7:37 a.m.
147,helloflight,4:00 p.m.,,7:05 p.m.,
148,helloflight,,6:11 a.m.,,6:15 a.m.
149,helloflight,,7:40 a.m.,,10:52 a.m.
150,helloflight,,7:32 a.m.,,3:12 p.m.
151,boston,7:10 a.m.,7:16 a.m.,9:40 a.m.,9:22 a.m.
152,boston,,7:42 p.m.,,10:23 p.m.
153,boston,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:12 a.m.
154,boston,8:00 a.m.,8:49 a.m.,11:55 a.m.,11:35 a.m.
155,boston,,9:01 a.m.,,9:40 a.m.
156,boston,7:45 p.m.,7:59 p.m.,10:30 p.m.,10:39 p.m.&nbsp(Estimated)
157,boston,12:00 p.m.,12:12 p.m.,3:15 p.m.,3:10 p.m.
158,boston,3:27 p.m.,3:50 p.m.,5:05 p.m.,5:17 p.m.
159,boston,,12:37 p.m.,,3:25 p.m.
160,boston,,10:53 a.m.,,11:18 a.m.
161,boston,11:25 p.m.,Not Available,6:55 a.m. Dec 02,Not Available
162,boston,,6:10 a.m.,,7:10 a.m.
163,boston,,12:58 a.m.,,5:23 a.m.
164,boston,4:00 p.m.,4:10 p.m.,6:46 p.m.,6:25 p.m.
165,boston,,7:56 a.m.,,9:09 a.m.
166,boston,,10:35 a.m.,,1:09 p.m.
167,boston,9:05 a.m.,10:11 a.m.,12:35 p.m.,1:18 p.m.
168,boston,,8:26 a.m.,,9:54 a.m.
169,boston,7:00 a.m.,7:25 a.m.,9:55 a.m.,9:42 a.m.
170,boston,4:15 p.m.,4:30 p.m.,7:55 p.m.,7:35 p.m.
171,boston,,10:55 a.m.,,1:34 p.m.
172,boston,,2:59 p.m.,,6:59 p.m.
173,boston,,8:18 a.m.,,11:26 a.m.
174,boston,,3:04 p.m.,,4:45 p.m.
175,boston,11:50 a.m.,12:13 p.m.,3:50 p.m.,4:09 p.m.
176,boston,,12:06 p.m.,,1:12 p.m.
177,boston,6:00 a.m.,6:09 a.m.,9:20 a.m.,9:00 a.m.
178,boston,11:05 a.m.,11:45 a.m.,4:57 p.m.,5:03 p.m.
179,boston,,6:17 a.m.,,10:18 a.m.
180,boston,,9:01 a.m.,,10:47 a.m.
181,boston,10:15 a.m.,10:19 a.m.,12:10 p.m.,11:50 a.m.
182,boston,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:19 p.m.
183,boston,,8:07 a.m.,,1:27 p.m.
184,boston,,12:56 p.m.,,3:20 p.m.
185,boston,,12:14 p.m.,,2:01 p.m.
186,boston,2:30 p.m.,2:43 p.m.,6:15 p.m.,5:28 p.m.
187,boston,12:00 p.m.,12:08 p.m.,1:45 p.m.,1:14 p.m.
188,boston,,5:38 p.m.,,7:55 p.m.
189,boston,,8:36 p.m.,,9:38 p.m.
190,boston,10:40 a.m.,11:06 a.m.,2:45 p.m.,2:37 p.m.
191,boston,12:57 p.m.,,4:52 p.m.,
192,boston,,3:36 p.m.,,3:25 p.m.
193,boston,7:15 a.m.,7:22 a.m.,10:35 a.m.,10:29 a.m.
194,boston,6:30 p.m.,Not Available,7:25 p.m.,Not Available
195,boston,6:45 p.m.,6:56 p.m.,9:10 p.m.,8:43 p.m.
196,boston,7:15 p.m.,Not Available,12:21 a.m. Dec 02,Not Available
197,boston,,2:38 p.m.,,7:53 p.m.
198,boston,9:15 a.m.,9:58 a.m.,12:18 p.m.,12:03 p.m.
199,boston,6:00 a.m.,6:57 a.m.,7:30 a.m.,7:51 a.m.
200,boston,7:10 a.m.,7:31 a.m.,9:35 a.m.,9:29 a.m.
201,boston,,5:09 p.m.,,7:53 p.m.
202,boston,3:50 p.m.,4:46 p.m.,6:23 p.m.,6:36 p.m.
203,boston,,4:37 p.m.,,7:26 p.m.
204,boston,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:49 p.m.
205,boston,,10:37 a.m.,,6:13 p.m.
206,boston,,7:31 a.m.,,10:45 a.m.
207,boston,10:40 a.m.,11:02 a.m.,2:59 p.m.,2:56 p.m.
208,boston,1:33 p.m.,1:48 p.m.,4:31 p.m.,4:18 p.m.
209,boston,12:15 p.m.,12:42 p.m.,2:45 p.m.,2:52 p.m.
210,boston,,2:01 p.m.,,4:06 p.m.
211,boston,11:55 p.m.,,5:50 a.m.Dec 02,
212,boston,4:25 p.m.,Not Available,12:29 a.m. Dec 02,Not Available
213,boston,9:00 p.m.,Not Available,12:15 a.m. Dec 02,Not Available
214,boston,8:25 p.m.,Not Available,11:50 p.m.,Not Available
215,boston,6:59 a.m.,7:23 a.m.,10:34 a.m.,9:58 a.m.
216,boston,8:35 a.m.,8:52 a.m.,11:50 a.m.,11:40 a.m.
217,boston,,8:37 a.m.,,9:11 a.m.
218,boston,1:30 p.m.,Not Available,3:50 p.m.,Not Available
219,boston,,3:17 p.m.,,4:55 p.m.
220,boston,,7:41 a.m.,,8:41 a.m.
221,boston,11:08 p.m.,,5:11 a.m.Dec 02,
222,boston,5:30 p.m.,,6:09 p.m.,
223,boston,,12:45 a.m.,,7:58 a.m.
224,boston,,11:47 a.m.,,2:02 p.m.
225,boston,,8:40 p.m.,,9:11 p.m.
226,boston,,3:04 p.m.,,4:24 p.m.
227,boston,,2:59 p.m.,,6:59 p.m.
228,boston,,9:43 a.m.,,12:10 p.m.
229,boston,2:35 p.m.,2:44 p.m.,4:05 p.m.,3:36 p.m.
230,boston,2:55 p.m.,3:28 p.m.,5:55 p.m.,5:34 p.m.
231,boston,7:15 a.m.,7:23 a.m.,11:35 a.m.,11:07 a.m.
232,boston,12:10 p.m.,12:11 p.m.,2:15 p.m.,1:40 p.m.
233,boston,7:55 a.m.,8:05 a.m.,11:05 a.m.,11:00 a.m.
234,boston,,9:05 a.m.,,12:00 p.m.
235,boston,1:05 p.m.,1:20 p.m.,2:35 p.m.,3:01 p.m.
236,boston,,8:56 a.m.,,10:10 a.m.
237,boston,3:05 p.m.,3:38 p.m.,6:30 p.m.,6:36 p.m.
238,boston,7:30 a.m.,8:04 a.m.,8:00 a.m.,7:57 a.m.
239,boston,,11:41 a.m.,,4:52 p.m.
240,boston,4:00 p.m.,4:12 p.m.,6:40 p.m.,6:09 p.m.
241,boston,11:35 a.m.,11:52 a.m.,2:25 p.m.,2:18 p.m.
242,boston,7:25 a.m.,7:40 a.m.,11:10 a.m.,10:53 a.m.
243,boston,,4:02 p.m.,,5:09 p.m.
244,boston,11:55 a.m.,11:55 a.m.,6:17 p.m.,5:35 p.m.
245,boston,10:40 a.m.,10:55 a.m.,12:55 p.m.,12:48 p.m.
246,boston,6:45 a.m.,6:58 a.m.,7:45 a.m.,7:32 a.m.
247,boston,4:00 p.m.,4:15 p.m.,7:05 p.m.,6:33 p.m.
248,boston,6:00 a.m.,6:11 a.m.,6:40 a.m.,6:07 a.m.
249,boston,7:10 a.m.,7:40 a.m.,10:45 a.m.,11:00 a.m.
250,boston,7:10 a.m.,7:32 a.m.,3:30 p.m.,3:09 p.m.
251,weather,7:10 a.m.,,9:40 a.m.,
252,weather,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:09 a.m.
253,weather,8:00 a.m.,8:49 a.m.,11:55 a.m.,11:34 a.m.
254,weather,8:41 a.m.,,9:54 a.m.,
255,weather,7:45 p.m.,,10:30 p.m.,
256,weather,6:30 p.m.,6:56 p.m.,7:25 p.m.,7:35 p.m.
257,weather,3:27 p.m.,,5:05 p.m.,
258,weather,11:25 a.m.,,2:50 p.m.,
259,weather,11:25 a.m.,,5:25 p.m.,
260,weather,10:39 a.m.,,11:19 a.m.,
261,weather,11:25 p.m.,11:58 p.m.,6:55 a.m.,7:02 a.m.
262,weather,6:00 a.m.,,7:23 a.m.,
263,weather,12:15 p.m.,,2:45 p.m.,
264,weather,4:00 p.m.,,6:46 p.m.,
265,weather,9:45 a.m.,,1:16 p.m.,
266,weather,7:00 a.m.,,9:55 a.m.,
267,weather,8:15 a.m.,,10:06 a.m.,
268,weather,4:15 p.m.,,7:55 p.m.,
269,weather,2:30 p.m.,,7:03 p.m.,
270,weather,11:50 a.m.,,3:50 p.m.,
271,weather,6:00 a.m.,6:09 a.m.,9:20 a.m.,8:50 a.m.
272,weather,11:05 a.m.,,4:57 p.m.,
273,weather,6:00 a.m.,,10:20 a.m.,
274,weather,8:40 a.m.,,10:54 a.m.,
275,weather,10:45 a.m.,,2:20 p.m.,
276,weather,10:15 a.m.,10:19 a.m.,12:10 p.m.,11:50 a.m.
277,weather,7:30 a.m.,,8:00 a.m.,
278,weather,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:13 p.m.
279,weather,12:30 a.m.,,5:35 a.m.,
280,weather,9:05 a.m.,10:11 a.m.,12:35 p.m.,1:11 p.m.
281,weather,11:45 a.m.,,2:00 p.m.,
282,weather,12:00 p.m.,,1:45 p.m.,
283,weather,7:25 a.m.,7:40 a.m.,11:10 a.m.,10:52 a.m.
284,weather,11:35 a.m.,11:52 a.m.,2:25 p.m.,2:17 p.m.
285,weather,10:40 a.m.,11:06 a.m.,2:45 p.m.,2:36 p.m.
286,weather,7:15 a.m.,7:22 a.m.,10:35 a.m.,10:34 a.m.
287,weather,8:05 a.m.,,11:35 a.m.,
288,weather,6:45 p.m.,,9:10 p.m.,
289,weather,12:00 p.m.,12:12 p.m.,3:15 p.m.,3:09 p.m.
290,weather,7:15 p.m.,,12:21 a.m.,
291,weather,1:55 p.m.,,7:53 p.m.,
292,weather,9:15 a.m.,,12:18 p.m.,
293,weather,6:00 a.m.,,7:30 a.m.,
294,weather,7:10 a.m.,7:31 a.m.,9:35 a.m.,9:23 a.m.
295,weather,3:50 p.m.,,6:23 p.m.,
296,weather,4:16 p.m.,,7:35 p.m.,
297,weather,8:00 p.m.,,9:45 p.m.,
298,weather,10:25 a.m.,,6:44 p.m.,
299,weather,7:05 a.m.,,10:31 a.m.,
300,weather,10:40 a.m.,11:02 a.m.,2:59 p.m.,2:52 p.m.
301,weather,1:33 p.m.,,4:31 p.m.,
302,weather,11:55 p.m.,12:11 a.m.,5:50 a.m.,5:49 a.m.
303,weather,4:25 p.m.,4:30 p.m.,12:29 a.m.,11:56 p.m.
304,weather,9:00 p.m.,,12:15 a.m.,
305,weather,8:25 p.m.,8:44 p.m.,11:50 p.m.,11:54 p.m.
306,weather,6:59 a.m.,7:23 a.m.,10:34 a.m.,9:56 a.m.
307,weather,8:35 a.m.,8:52 a.m.,11:50 a.m.,11:39 a.m.
308,weather,2:30 p.m.,,6:15 p.m.,
309,weather,8:29 a.m.,,9:24 a.m.,
310,weather,1:30 p.m.,,3:50 p.m.,
311,weather,2:53 p.m.,,4:48 p.m.,
312,weather,7:35 a.m.,,9:43 a.m.,
313,weather,1:45 p.m.,,8:27 a.m.,
314,weather,11:15 a.m.,,1:40 p.m.,
315,weather,8:20 p.m.,,9:20 p.m.,
316,weather,2:55 p.m.,,4:53 p.m.,
317,weather,2:30 p.m.,,7:03 p.m.,
318,weather,2:35 p.m.,,4:05 p.m.,
319,weather,2:55 p.m.,,5:55 p.m.,
320,weather,7:15 a.m.,7:23 a.m.,11:35 a.m.,11:04 a.m.
321,weather,2:55 p.m.,,5:00 p.m.,
322,weather,12:10 p.m.,,2:15 p.m.,
323,weather,7:55 a.m.,,11:05 a.m.,
324,weather,9:05 a.m.,,11:53 a.m.,
325,weather,1:05 p.m.,1:20 p.m.,2:35 p.m.,2:49 p.m.
326,weather,7:53 a.m.,8:07 a.m.,1:39 p.m.,1:23 p.m.
327,weather,8:35 a.m.,,10:40 a.m.,
328,weather,3:05 p.m.,,6:30 p.m.,
329,weather,4:00 p.m.,,6:40 p.m.,
330,weather,2:55 p.m.,,4:49 p.m.,
331,weather,11:55 a.m.,,6:17 p.m.,
332,weather,10:40 a.m.,,12:55 p.m.,
333,weather,6:45 a.m.,6:58 a.m.,7:45 a.m.,7:40 a.m.
334,weather,4:00 p.m.,,7:05 p.m.,
335,weather,6:00 a.m.,,6:40 a.m.,
336,weather,7:10 a.m.,7:40 a.m.,10:45 a.m.,10:49 a.m.
337,weather,7:10 a.m.,,3:30 p.m.,
338,airtravelcenter,,7:16 a.m.,,9:22 a.m.
339,airtravelcenter,7:00 p.m.,,10:15 p.m.,
340,airtravelcenter,,6:54 a.m.,,9:14 a.m.
341,airtravelcenter,,8:48 a.m.,,11:30 a.m.
342,airtravelcenter,,9:00 a.m.,,9:29 a.m.
343,airtravelcenter,,7:59 p.m.,,10:31 p.m.
344,airtravelcenter,,3:50 p.m.,,5:14 p.m.
345,airtravelcenter,11:25 a.m.,,2:50 p.m.,
346,airtravelcenter,,11:41 a.m.,,4:54 p.m.
347,airtravelcenter,,10:53 a.m.,,11:11 a.m.
348,airtravelcenter,,11:29 p.m.,,12/2/11 6:35 a.m.
349,airtravelcenter,,6:10 a.m.,,7:04 a.m.
350,airtravelcenter,12:30 a.m.,,5:35 a.m.,
351,airtravelcenter,,4:10 p.m.,,6:25 p.m.
352,airtravelcenter,7:35 a.m.,,9:21 a.m.,
353,airtravelcenter,9:45 a.m.,,1:16 p.m.,
354,airtravelcenter,,10:11 a.m.,,1:11 p.m.
355,airtravelcenter,,8:26 a.m.,,9:56 a.m.
356,airtravelcenter,,7:25 a.m.,,9:29 a.m.
357,airtravelcenter,,4:29 p.m.,,7:37 p.m.
358,airtravelcenter,,10:54 a.m.,,1:36 p.m.
359,airtravelcenter,2:30 p.m.,,7:03 p.m.,
360,airtravelcenter,8:05 a.m.,,11:35 a.m.,
361,airtravelcenter,,3:04 p.m.,,4:43 p.m.
362,airtravelcenter,,12:13 p.m.,,4:08 p.m.
363,airtravelcenter,11:40 a.m.,,1:17 p.m.,
364,airtravelcenter,,6:09 a.m.,,8:50 a.m.
365,airtravelcenter,,11:45 a.m.,,5:00 p.m.
366,airtravelcenter,6:00 a.m.,,10:20 a.m.,
367,airtravelcenter,8:40 a.m.,,10:54 a.m.,
368,airtravelcenter,,10:19 a.m.,,11:50 a.m.
369,airtravelcenter,,2:03 p.m.,,3:13 p.m.
370,airtravelcenter,,8:07 a.m.,,1:23 p.m.
371,airtravelcenter,,12:56 p.m.,,3:09 p.m.
372,airtravelcenter,,12:14 p.m.,,1:55 p.m.
373,airtravelcenter,,2:43 p.m.,,5:22 p.m.
374,airtravelcenter,,12:07 p.m.,,1:11 p.m.
375,airtravelcenter,5:25 p.m.,,8:22 p.m.,
376,airtravelcenter,7:10 p.m.,,8:56 p.m.,
377,airtravelcenter,,11:06 a.m.,,2:39 p.m.
378,airtravelcenter,,1:43 p.m.,,5:24 p.m.
379,airtravelcenter,3:35 p.m.,,4:00 p.m.,
380,airtravelcenter,,7:22 a.m.,,10:34 a.m.
381,airtravelcenter,,6:47 p.m.,,7:25 p.m.
382,airtravelcenter,,6:56 p.m.,,8:38 p.m.
383,airtravelcenter,,12:12 p.m.,,3:04 p.m.
384,airtravelcenter,7:15 p.m.,,12/2/11 12:21 a.m.,
385,airtravelcenter,,2:04 p.m.,,7:20 p.m.
386,airtravelcenter,9:15 a.m.,,12:18 p.m.,
387,airtravelcenter,,6:57 a.m.,,7:49 a.m.
388,airtravelcenter,,7:31 a.m.,,9:26 a.m.
389,airtravelcenter,,5:09 p.m.,,7:43 p.m.
390,airtravelcenter,,7:39 a.m.,,10:43 a.m.
391,airtravelcenter,,4:44 p.m.,,6:28 p.m.
392,airtravelcenter,,4:37 p.m.,,7:23 p.m.
393,airtravelcenter,,8:23 p.m.,,9:47 p.m.
394,airtravelcenter,10:25 a.m.,,6:44 p.m.,
395,airtravelcenter,,7:30 a.m.,,10:43 a.m.
396,airtravelcenter,,11:02 a.m.,,2:58 p.m.
397,airtravelcenter,,1:48 p.m.,,4:20 p.m.
398,airtravelcenter,,12:42 p.m.,,2:50 p.m.
399,airtravelcenter,1:29 p.m.,,4:17 p.m.,
400,airtravelcenter,,12:11 a.m.,,5:52 a.m.
401,airtravelcenter,,4:28 p.m.,,12/2/11 12:01 a.m.
402,airtravelcenter,,9:06 p.m.,,11:49 p.m.
403,airtravelcenter,,8:29 p.m.,,11:35 p.m.
404,airtravelcenter,,7:23 a.m.,,9:45 a.m.
405,airtravelcenter,,8:52 a.m.,,11:33 a.m.
406,airtravelcenter,,8:37 a.m.,,9:13 a.m.
407,airtravelcenter,,1:41 p.m.,,3:29 p.m.
408,airtravelcenter,2:53 p.m.,,4:48 p.m.,
409,airtravelcenter,,7:41 a.m.,,8:33 a.m.
410,airtravelcenter,11:08 p.m.,,12/2/11 5:11 a.m.,
411,airtravelcenter,,5:38 p.m.,,6:19 p.m.
412,airtravelcenter,,1:50 p.m. (+8:00),,7:50 a.m.
413,airtravelcenter,,11:47 a.m.,,1:52 p.m.
414,airtravelcenter,,8:40 p.m.,,9:12 p.m.
415,airtravelcenter,,3:04 p.m.,,4:22 p.m.
416,airtravelcenter,2:30 p.m.,,7:03 p.m.,
417,airtravelcenter,8:55 a.m.,,11:45 a.m.,
418,airtravelcenter,,2:44 p.m.,,3:36 p.m.
419,airtravelcenter,,3:28 p.m.,,5:39 p.m.
420,airtravelcenter,,7:22 a.m.,,11:04 a.m.
421,airtravelcenter,,12:11 p.m.,,1:42 p.m.
422,airtravelcenter,,8:04 a.m.,,10:58 a.m.
423,airtravelcenter,9:05 a.m. (-00:00),,11:53 a.m.,
424,airtravelcenter,,1:20 p.m.,,2:49 p.m.
425,airtravelcenter,,8:55 a.m.,,10:12 a.m.
426,airtravelcenter,,3:38 p.m.,,6:30 p.m.
427,airtravelcenter,,8:04 a.m.,,7:59 a.m.
428,airtravelcenter,,4:12 p.m.,,6:11 p.m.
429,airtravelcenter,,11:52 a.m.,,2:21 p.m.
430,airtravelcenter,2:55 p.m.,,4:49 p.m.,
431,airtravelcenter,,11:55 a.m.,,5:34 p.m.
432,airtravelcenter,,10:55 a.m.,,12:37 p.m.
433,airtravelcenter,,6:58 a.m.,,7:37 a.m.
434,airtravelcenter,4:00 p.m.,,7:05 p.m.,
435,airtravelcenter,,6:11 a.m.,,6:15 a.m.
436,airtravelcenter,,7:40 a.m.,,10:52 a.m.
437,airtravelcenter,,7:32 a.m.,,3:12 p.m.
438,flightview,7:10 a.m.,7:16 a.m.,9:40 a.m.,9:22 a.m.
439,flightview,,7:42 p.m.,,10:29 p.m.
440,flightview,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:28 a.m.
441,flightview,8:00 a.m.,8:49 a.m.,11:55 a.m.,11:58 a.m.
442,flightview,,9:01 a.m.,,9:43 a.m.
443,flightview,7:45 p.m.,7:59 p.m.,10:30 p.m.,
444,flightview,12:00 p.m.,12:12 p.m.,3:15 p.m.,3:16 p.m.
